Real value,Linear Regression,KNeighbors Regressor,DecisionTreeRegressor,Random Forest,XGBRegressor,Gradient Boosting Regressor,Ada Boost Regressor,Support Vector Regressor
0.04,0.20609543560707214,0.048,0.1,0.12124023809523804,0.01776549220085144,0.20675080680024516,0.3429729729729728,0.07424808854420203
0.67,0.7550588897870505,0.658,0.7,0.7066000000000011,0.6902000308036804,0.7454531459338917,0.7635238095238085,0.7411763459219318
0.15,0.40232933708933394,0.246,0.25,0.27710000000000024,0.10004293918609619,0.373005891608901,0.5500473933649288,0.4044186180765343
0.99,0.586582430501617,0.978,0.99,0.9469999999999996,0.9338304996490479,0.921876469616642,0.7405839416058397,0.9358832543856024
0.01,0.29820079676597755,0.036,0.06,0.02010000000000001,0.03519343212246895,0.05331596884427374,0.1768571428571429,0.008018145868557647
0.88,0.6724839618383787,0.9120000000000001,0.82,0.8436999999999992,0.8329026103019714,0.8326640264915072,0.658368794326241,0.9054248589958165
0.02,0.13573662474625764,0.03,0.030000000000000002,0.02999999999999995,0.031728241592645645,0.04622232101296037,0.2298029556650247,0.030801102634231248
0.3,0.5544009434560117,0.296,0.33,0.3787999999999995,0.22046563029289246,0.5283115504607307,0.6199026763990253,0.4751250576312358
0.07,0.3591287073477857,0.11400000000000002,0.11,0.09299999999999997,0.0643739104270935,0.19731247928536816,0.32166276346604206,0.25844837171317775
0.3,0.506657963699305,0.396,0.34,0.3678999999999999,0.24198542535305023,0.5457741686774173,0.6089983844911149,0.4751058998462826
0.48,0.28865644057757545,0.39,0.63,0.5511999999999998,0.5377475619316101,0.31585056988869153,0.3614999999999997,0.38813928984996243
0.32,0.3279574881127698,0.202,0.13,0.17309999999999998,0.26472529768943787,0.21066000701568574,0.23180327868852452,0.0928571080674582
0.54,0.34676818730153286,0.28800000000000003,0.11,0.2664000000000002,0.39708930253982544,0.33733355229947704,0.42445255474452515,0.3191143936153521
0.37,0.44175536307999347,0.266,0.24,0.2684999999999997,0.29697784781455994,0.2891461228507713,0.44334957369061845,0.2722107971211933
0.03,0.03362354430954123,0.027999999999999997,0.03,0.02999999999999995,0.02634074166417122,0.018188176125919445,0.24894736842105297,-0.055471662578901126
0.34,0.1806576171335379,0.266,0.37,0.3413000000000001,0.31332799792289734,0.3751024362260203,0.3767967145790554,0.27876487840593317
0.4,0.3540328304021127,0.278,0.5,0.45855000000000024,0.42500922083854675,0.44745259331975584,0.52496231155779,0.3700726373832671
0.72,0.5867094467699469,0.8320000000000001,0.7,0.7480000000000001,0.7382024526596069,0.7887070465457731,0.6839035087719292,0.711225415197276
0.95,0.7157174062295961,0.762,0.89,0.8801000000000003,0.8965480327606201,0.9262714101023635,0.8009832134292559,0.9864498658456677
0.01,0.3150056986013383,0.054000000000000006,0.07,0.06210000000000002,0.057423073798418045,0.10777942176943113,0.19202247191011232,0.05392109916842286
0.88,0.6116593651467523,0.72,0.86,0.8134999999999998,0.8463583588600159,0.8663406505703443,0.7560543130990447,0.8925059341289718
0.04,-0.10006782183168283,0.054000000000000006,0.06,0.06739999999999996,0.029187196865677834,0.09106711124192228,0.21579579579579589,0.06540996467359178
0.8,0.8529137683210923,0.766,0.78,0.8154999999999998,0.8189493417739868,0.824217977122804,0.7300387596899226,0.7302531727397947
0.0,0.5082983306023301,0.512,0.0,0.00015,0.07606951892375946,0.06465084514483697,0.18941176470588236,0.518477889724738
0.4,0.5583725719640316,0.63,0.5,0.6195000000000002,0.5559836626052856,0.7247078079070653,0.6199026763990253,0.7203288146646996
0.0,0.23436148550962546,0.01,0.0,0.0,0.0030060489661991596,-0.047617620338118775,0.1167914438502677,-0.14684892388690313
0.22,0.005083905969218316,0.242,0.16,0.22520000000000007,0.24192582070827484,0.19363436220592128,0.24934959349593502,0.1456797501164889
0.01,0.2250747499159966,0.09,0.0,0.01590000000000001,0.04171707481145859,0.08035646733322997,0.17774703557312244,0.10380546428256704
0.4,0.36137441203227616,0.238,0.14,0.2859000000000001,0.3871656358242035,0.25150835925373716,0.2755140186915886,0.2399482208365697
0.25,0.2672415407824946,0.166,0.27,0.27026000000000017,0.2771199941635132,0.297610049364611,0.3614999999999997,0.1469927441310051
0.35,0.3591775778183185,0.33999999999999997,0.38,0.3924000000000001,0.3813571333885193,0.36317862001202134,0.5412820512820512,0.28236666810760713
0.04,-0.11801220660863809,0.028000000000000004,0.04,0.03859999999999998,0.047621604055166245,0.01580976725566111,0.19186274509803916,-0.06323792947618251
0.87,1.0392176797716761,0.9139999999999999,0.84,0.8773000000000012,0.8513947129249573,0.8550473518279639,0.6437662337662335,0.9387835007256056
0.25,0.35193055217866975,0.136,0.33,0.31439999999999957,0.2951917350292206,0.3262214129686527,0.5650340136054419,0.2718541780650141
0.93,0.6486114793500961,0.77,0.91,0.8323999999999993,0.8520945906639099,0.8064070207560072,0.7124857142857145,0.7743764450256584
0.61,0.39528314431616596,0.404,0.48,0.43029999999999985,0.4824719727039337,0.5177837749545894,0.5500473933649288,0.4401475770327175
0.03,0.16448193996251276,0.03,0.03,0.03049999999999995,0.034425344318151474,0.0553671549817702,0.23412213740458038,0.06588396485579034
0.49,0.4640032234377612,0.422,0.49,0.5369999999999999,0.4139891266822815,0.5714006120766583,0.46788321167883207,0.4011233469011521
0.62,0.46952586576430455,0.732,0.52,0.5811000000000007,0.6996805667877197,0.615592091777809,0.562,0.8409514614411926
0.38,0.2375497223154911,0.31999999999999995,0.35,0.4727000000000004,0.4647371768951416,0.4165952645412358,0.5829847494553375,0.3118502852154746
0.84,0.4928373611554134,0.8480000000000001,0.88,0.8357999999999995,0.8352131247520447,0.7818703280161249,0.68547974413646,0.6982559023015769
0.86,0.5495838684300971,0.5879999999999999,0.89,0.7832000000000002,0.8733020424842834,0.7429128507449582,0.6408771929824566,0.6034845766600645
0.05,0.5389181002258489,0.554,0.06,0.3058999999999997,0.125497505068779,0.44452440648558117,0.39240963855421634,0.5318556845237206
0.85,0.8157481044287094,0.9120000000000001,0.79,0.8668999999999994,0.8778376579284668,0.8138457271564223,0.7124857142857145,0.8546625880959478
0.0,0.25900015428966927,0.11000000000000001,0.02,0.02729999999999999,0.0277207363396883,0.059728545082597125,0.16499999999999998,-0.02038964704331231
0.9,0.8814031598811731,0.876,0.79,0.8811999999999997,0.9050960540771484,0.8909693982216506,0.7570420168067254,0.9309745142125316
0.44,0.5029666556323881,0.398,0.49,0.536475,0.44609448313713074,0.6029383508143256,0.47998041136141073,0.4153048687711915
0.17,0.37443092310191584,0.166,0.18,0.24791666666666662,0.18662700057029724,0.239236426723562,0.2995918367346939,0.12422997060373425
0.05,0.34618076170085804,0.11000000000000001,0.06,0.08940000000000001,0.04310774430632591,0.15481319869938873,0.2298029556650247,0.12607729242894666
0.13,0.36148275828065146,0.162,0.14,0.17780000000000018,0.14891183376312256,0.2536929345281881,0.2995918367346939,0.240136807951837
0.9,0.7009563543672305,0.9039999999999999,0.89,0.8889,0.8982418775558472,0.9227425751257703,0.7635238095238085,1.0078131883358168
0.04,-0.0852272270632064,0.028000000000000004,0.07,0.06670000000000002,0.026757268235087395,0.09106711124192228,0.21579579579579589,0.055524554404140614
0.02,-0.14724941893168864,0.012,0.02,0.02075000000000001,0.0069146365858614445,0.014352626481088327,0.19186274509803916,-0.07218195293158275
0.22,0.051968888747573494,0.18000000000000002,0.15,0.17910000000000012,0.22309356927871704,0.1415647136888331,0.26580645161290306,0.14193111833121858
0.69,0.5428571206778271,0.6460000000000001,0.65,0.6599999999999997,0.6991329193115234,0.7456792890109697,0.6199026763990253,0.5683555231821237
0.26,0.44694564533344516,0.31199999999999994,0.34,0.30859999999999965,0.28182509541511536,0.5140401066176601,0.5829847494553375,0.49588999667053846
0.51,0.9207184300138784,0.734,0.47,0.6038999999999995,0.7095773220062256,0.5858763665755659,0.6089983844911149,0.6728382252626601
0.01,0.04303719632626801,0.016,0.02,0.01810833333333334,0.01604178361594677,-0.008883728183544482,0.17774703557312244,-0.07739037902665186
0.07,0.236078545102434,0.038,0.04,0.052999999999999964,0.05244230851531029,0.1196579261739364,0.21579579579579589,0.15677291340832994
0.85,0.7595520952890737,0.8039999999999999,0.9,0.8239000000000007,0.8961777687072754,0.8191737537393995,0.68547974413646,0.8484843891481384
0.69,0.4881003165632229,0.7579999999999999,0.72,0.6940999999999998,0.7015751600265503,0.6730284931857425,0.6299599198396798,0.6353146869166861
0.71,0.44098405795116635,0.5559999999999999,0.48,0.5220000000000001,0.7212162017822266,0.6195667155539656,0.5768187134502935,0.5697894593052228
0.17,0.3836215526652186,0.238,0.16,0.2175999999999999,0.24008482694625854,0.20744027255278555,0.21999999999999995,0.25524075657749623
0.32,0.2512909932381935,0.21000000000000002,0.36,0.37467999999999974,0.2717772424221039,0.4974634319860331,0.5325263157894736,0.2506394027858114
0.03,0.11583693132088252,0.266,0.06,0.07099999999999987,0.10273238271474838,0.07670690362392517,0.19979166666666656,0.20804471474812536
0.6,0.38194415493313355,0.5740000000000001,0.68,0.5049000000000003,0.6058037281036377,0.4984010051724805,0.5829847494553375,0.5382320404791461
0.97,0.8248648127409841,0.9120000000000001,0.96,0.9253333333333322,0.9070422649383545,0.9621275622113491,0.7635238095238085,1.022506122715922
0.44,0.34191283685144447,0.394,0.37,0.40669999999999995,0.398495614528656,0.5031920690615512,0.5650340136054419,0.3910140439906171
0.04,0.053967787582097415,0.052000000000000005,0.05,0.0505142857142857,0.030217114835977554,0.08307404657377668,0.26580645161290306,0.03167664106852369
0.93,0.5807365249472931,0.89,0.66,0.7958999999999995,0.8306567072868347,0.8415574001229832,0.6839035087719292,0.7185469888128246
0.99,1.0842236303146837,0.9019999999999999,0.99,0.953199999999999,0.9806035161018372,0.96321986967622,0.6906271777003476,0.9479730067289789
0.2,0.3244251557293699,0.278,0.25,0.29539999999999994,0.2864973843097687,0.2696865003669738,0.24934959349593502,0.2849863172889981
0.23,0.4383686896008812,0.268,0.22,0.2589999999999997,0.24038298428058624,0.2891461228507713,0.44334957369061845,0.26580594003731034
0.47,0.37466866800877396,0.398,0.44,0.4106,0.42009198665618896,0.41027537464199226,0.5325263157894736,0.38264761410114606
0.53,0.5212337224496449,0.512,0.43,0.39120000000000027,0.44411730766296387,0.44529754240836183,0.46555555555555533,0.5552198057671297
0.09,-0.07019870092151093,0.084,0.1,0.07439999999999998,0.07544556260108948,0.09055398665989695,0.2298029556650247,0.06952668906270035
0.67,0.5220771431625126,0.352,0.8,0.6821000000000003,0.6198070049285889,0.6807036786310388,0.6199026763990253,0.6258511565919023
0.73,0.3920701049204467,0.702,0.74,0.7208000000000002,0.7197534441947937,0.5997743696505612,0.6089983844911149,0.5083517963786887
0.7,0.4593896517094706,0.712,0.73,0.7164000000000001,0.6657747030258179,0.5804728658100108,0.6050181818181815,0.5160684958467249
0.94,0.8727796131507128,0.9359999999999999,0.87,0.9213000000000006,0.953372061252594,0.8994830586356225,0.8005737704918031,0.865536599799344
0.79,0.444868026485479,0.796,0.89,0.7729000000000006,0.8266962170600891,0.7057556535058392,0.6299599198396798,0.6178423258642736
0.05,0.17399705099005036,0.062,0.05,0.06639999999999997,0.05587734654545784,0.034029920266889724,0.22741935483870965,0.12060545226323649
0.0,0.4436943159168822,0.22400000000000003,0.0,0.0,0.012283195741474628,0.060521991739535874,0.1788617886178862,0.44905571364052455
0.04,0.2968348941615477,0.032,0.04,0.0391,0.023318735882639885,0.07918583023493515,0.21197802197802196,0.07224588856884967
0.9,0.7730925650952718,0.922,0.88,0.8896999999999992,0.8944677710533142,0.8326640264915072,0.658368794326241,1.0172955874410952
0.07,0.08320499990514801,0.064,0.07,0.06406666666666662,0.07158903777599335,0.08504431193037476,0.26580645161290306,0.05263002507864373
0.95,0.5574511692201667,0.946,0.96,0.9548999999999989,0.9707272052764893,0.9177868796277079,0.7124857142857145,0.895887299599079
0.82,0.48468552909977514,0.778,0.84,0.806400000000001,0.7794005274772644,0.6192237860474568,0.6729861982434135,0.576736012021682
0.01,0.10052782675877836,0.022,0.03,0.026683333333333302,0.022582396864891052,-0.0014267669041231697,0.17820945945945937,-0.05030493384879825
0.32,0.5515006554366632,0.49799999999999994,0.4,0.3985999999999995,0.32547926902770996,0.5740858952517458,0.6301937984496128,0.5616110473937302
0.52,0.5807277726615538,0.55,0.69,0.4704999999999999,0.458539217710495,0.6266658035999344,0.5829847494553375,0.5202997447381041
0.71,0.7030504801240026,0.602,0.54,0.6636,0.7917707562446594,0.686760160774604,0.6199026763990253,0.6824892630330066
0.0,0.27431410367355696,0.188,0.0,0.0,-0.00795159675180912,0.04231658939792196,0.19979166666666656,0.1749848444090877
0.98,0.6386393963644272,0.868,0.95,0.9570000000000007,0.9580883383750916,0.9114556717316289,0.7560543130990447,0.9327685017971972
0.01,-0.09622227127040239,0.012,0.01,0.012066666666666675,0.014909746125340462,-0.014271404180585789,0.16378378378378394,-0.08006521948660872
0.34,0.37477877862611897,0.27,0.22,0.24579999999999977,0.3003888726234436,0.251778478912883,0.41891666666666694,0.2603023851257684
0.94,0.43886731454196704,0.5759999999999998,0.79,0.8139999999999995,0.8407325744628906,0.8529991758564242,0.7300387596899226,0.7190915271277457
0.42,0.33450343994808607,0.354,0.37,0.3663000000000002,0.35059961676597595,0.39007740075583214,0.52496231155779,0.2941247002455894
0.67,0.7665340960962457,0.678,0.65,0.6639999999999999,0.6811504364013672,0.728371184719029,0.6149999999999998,0.5760647038364448
0.29,0.4570065056591345,0.312,0.34,0.34640000000000015,0.3693370819091797,0.5476742635736498,0.6050181818181815,0.5212866442222466
0.65,0.5575329518254479,0.788,0.7,0.6954000000000007,0.6740224361419678,0.705305935680019,0.6301937984496128,0.6264804817956111
0.47,0.41525700083261796,0.404,0.48,0.40790000000000015,0.4808257222175598,0.5155991996801385,0.5424962178517395,0.4950678320685984
0.21,0.4318543548449112,0.26,0.05,0.2860999999999995,0.24143709242343903,0.39989370048961836,0.47998041136141073,0.45701923454317567
0.94,0.7612657040794937,0.8879999999999999,0.88,0.8403666666666662,0.8848706483840942,0.9686051385807729,0.7405839416058397,0.905233038000304
0.22,0.128686452934969,0.21000000000000002,0.23,0.21669999999999986,0.21693117916584015,0.18551692359723915,0.2866115702479338,0.17669568519411039
0.96,0.5336876995235892,0.716,0.99,0.8916,0.9973419308662415,0.8472138989650854,0.6408771929824566,0.8176802380057271
0.15,0.45318624851481676,0.198,0.16,0.18010000000000004,0.20260140299797058,0.28237078548587297,0.4195918367346939,0.25881366613632656
0.64,0.3801294035938645,0.6060000000000001,0.64,0.6650000000000003,0.7700363993644714,0.63601029605306,0.6093913043478271,0.4869720844704651
0.63,0.6341584472561728,0.638,0.46,0.5032000000000001,0.5433821082115173,0.6854790832499803,0.6729861982434135,0.6008910355884372
0.25,0.35310968159658257,0.398,0.14,0.19220000000000012,0.27517572045326233,0.21889018128707546,0.24934959349593502,0.3475120078146008
0.15,0.3395039557167814,0.156,0.15,0.16399999999999995,0.15721693634986877,0.12911183343259064,0.2341477272727273,0.10259880575685881
0.42,0.3533594311847551,0.41600000000000004,0.36,0.40959999999999996,0.4794200360774994,0.3920079347933718,0.5500473933649288,0.4676439965336787
0.96,0.7895793919127112,0.96,0.98,0.9188999999999994,0.936538577079773,0.8917988012238851,0.792376873661673,1.051590634612583
