index,R2,MAE,MSE
Linear Regression,0.31379827914439384,0.17389089570132343,0.04552815868104898
KNeighbors Regressor,0.9073282779202929,0.056810881274993646,0.010396105500487801
DecisionTreeRegressor,0.9047905528403168,0.058799582463465554,0.011768841336116907
Random Forest,0.7732878717465816,0.09925029856473014,0.02080453552685876
XGBRegressor,0.6134920782040556,0.12566819956755587,0.024666447353211187
Gradient Boosting Regressor,0.8836110873817717,0.07717889278259021,0.011458989043683017
Ada Boost Regressor,0.39487060745057156,0.14838256543373085,0.028969836354462594
Support Vector Regressor,0.8582335835694036,0.09048997788276211,0.015487226976045541
