index,R2,MAE,MSE
Linear Regression,0.31379827914439384,0.17389089570132343,0.04552815868104898
KNeighbors Regressor,0.8162266686068405,0.07918580375782881,0.018683148225469733
DecisionTreeRegressor,0.9244181419392715,0.053308977035490604,0.008599217118997913
Random Forest,0.9461256025343063,0.04716132369022767,0.00576097278743118
XGBRegressor,0.9749079260018091,0.03557742994471155,0.002874310582720292
Gradient Boosting Regressor,0.8836110873817717,0.07717889278259021,0.011458989043683017
Ada Boost Regressor,0.315254380702368,0.15346309502120975,0.030529604507479994
Support Vector Regressor,0.8083825140561187,0.10068196629652214,0.019983043880389136
